"Title";"Link";
"Computer Vision –","ECCV 2014;https://books.google.com/books?hl=en&lr=&id=l4BHBAAAQBAJ&oi=fnd&pg=PR7&dq=Computer+Vision+%E2%80%93+ECCV+2014&ots=bj9uaxh7x9&sig=HKfpvBWenw4k28gozm8fpxNydmc"
"Transmission line detection in aerial images: An instance segmentation","approach based on multitask neural networks;https://www.sciencedirect.com/science/article/pii/S092359652100117X?casa_token=6EeO_RMpZCMAAAAA:4lBgMQOpHkZVlvR02WeZywf5l12rr0arY5NLRvQvI4TV_UVr491oRFpOfn8qLRDOZSR7y7U"
"Detection and Segmentation of Mature Green Tomatoes Based","on Mask R-CNN with Automatic Image Acquisition Approach;https://www.mdpi.com/1424-8220/21/23/7842"
"3D Object Detection and 6D Pose Estimation Using","RGB-D Images and Mask R-CNN;https://ieeexplore.ieee.org/abstract/document/9177601/?casa_token=ImuUm8Q38h8AAAAA:QW0jzQ6QaPWKUG-vtpxEXi7mFCSvYPrjgbS6lHmt11RhWRkmnm-_I7qaBZayYc67m7HKrUg"
"Mask R-CNN",";http://openaccess.thecvf.com/content_iccv_2017/html/He_Mask_R-CNN_ICCV_2017_paper.html"
"Depth-aware CNN for RGB-D Segmentation",";http://openaccess.thecvf.com/content_ECCV_2018/html/Weiyue_Wang_Depth-aware_CNN_for_ECCV_2018_paper.html"
"Object-based RGBD image co-segmentation with mutex constraint",";http://openaccess.thecvf.com/content_cvpr_2015/html/Fu_Object-Based_RGBD_Image_2015_CVPR_paper.html"
"Semantic Segmentation of RGBD Videos with Recurrent Fully Convolutional","Neural Networks;http://openaccess.thecvf.com/content_ICCV_2017_workshops/w6/html/Yurdakul_Semantic_Segmentation_of_ICCV_2017_paper.html"
"Segmenting “Simple” Objects Using RGB-D",";https://ieeexplore.ieee.org/abstract/document/6225107/?casa_token=xuSZgFQcZHwAAAAA:Emmh2PNJTa0DYIol57gO0r-bkSI4otKKdkOXAGzSzGLttlpavfI6hygBI78GYQHME7LbPnk"
"Graph-Based Segmentation for RGB-D Data Using","3-D Geometry Enhanced Superpixels;https://ieeexplore.ieee.org/abstract/document/6867332/?casa_token=wS9Lf2CXxOoAAAAA:46Y5jgzdPR5qZfnMANBAZSnL_EJSh8QrDmzKuaWpMhCpYDYboCcMRRtJpZHwV6zPb8sVg3U"
"Unsupervised RGB-D image segmentation using joint clustering and region merging",";https://bmva-archive.org.uk/bmvc/2014/files/abstract045.pdf"
"A novel fuzzy clustering based method for image segmentation in RGB-D","images;https://www.sciencedirect.com/science/article/pii/S095219762200029X?casa_token=zUqkFFK_ZtoAAAAA:8LDiBSrnhoLfE-_W6DtDpgYIrvy1UbavDevfMd4w46gGH-g9iI8t1RtqeXYk-oA9DKPKUmQ"
"Efficient Hierarchical Graph-Based Segmentation of RGBD Videos",";http://openaccess.thecvf.com/content_cvpr_2014/html/Hickson_Efficient_Hierarchical_Graph-Based_2014_CVPR_paper.html"
"A Hierarchical Clustering Obstacle Detection Method Applied","to RGB-D Cameras;https://www.mdpi.com/2079-9292/12/10/2316"
"A new operator based on edge detection for monitoring the cable","under different illumination;https://www.sciencedirect.com/science/article/pii/S0888327022009943?casa_token=bgCQTjyucx0AAAAA:Xmo31gn9kBD1YPTjPKvyEKxxPv6VacsBHvGpOgMGh3KO6-XgC5ut77WiMANhusu5MrXJjqQ"
"Underwater cable detection in the images using edge classification based","on texture information;https://www.sciencedirect.com/science/article/pii/S0263224116301762?casa_token=ybhojCsJwawAAAAA:Sn3_qGo-sb32RX_XFSI0-VQra4i5aKk-lPCqu-xoqVIzxQNWvN12BQ5DRIsngxYGeIHWB1E"
"Nonlinear RANSAC with crossline correction: An algorithm for","vision-based curved cable detection system;https://www.sciencedirect.com/science/article/pii/S0143816619318792?casa_token=sJ5CuCdS7mUAAAAA:JdJp9WYK7lX0pmgBDQR-w2s7Exn_rGKNUYJQMe4ZPhnDqf7NtWXKpCY6qqxrWBSlv5CsmZo"
